,Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected,state,Hour Event Began,time_location
1091,January,2019-01-07,20:57:00,01/07/2019,21:32:00,Michigan:,RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,Michigan,20,2019-01-07 20:00:00 | Michigan
1092,January,2019-01-09,11:55:00,01/09/2019,11:56:00,New Mexico: San Juan County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,New Mexico,11,2019-01-09 11:00:00 | New Mexico
1093,January,2019-01-10,12:19:00,01/10/2019,12:48:00,Montana: Valley County;,WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,11,2,Montana,12,2019-01-10 12:00:00 | Montana
1094,January,2019-01-11,11:36:00,01/11/2019,12:43:00,Maine:,RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,Maine,11,2019-01-11 11:00:00 | Maine
1095,January,2019-01-12,11:30:00,01/13/2019,22:00:00,Missouri: Jackson County; Kansas: Johnson County;,SPP RE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,112530,Kansas,11,2019-01-12 11:00:00 | Kansas
1096,January,2019-01-12,11:30:00,01/13/2019,22:00:00,Missouri: Jackson County; Kansas: Johnson County;,SPP RE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,112530,Missouri,11,2019-01-12 11:00:00 | Missouri
1097,January,2019-01-12,11:30:00,Unknown,Unknown,Missouri: Nebraska:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,116600,Missouri,11,2019-01-12 11:00:00 | Missouri
1098,January,2019-01-12,11:30:00,Unknown,Unknown,Missouri: Nebraska:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,116600,Nebraska,11,2019-01-12 11:00:00 | Nebraska
1099,January,2019-01-12,19:20:00,01/12/2019,21:38:00,New Hampshire:,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,New Hampshire,19,2019-01-12 19:00:00 | New Hampshire
1100,January,2019-01-13,05:30:00,01/15/2019,17:00:00,North Carolina: South Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,133200,Unknown,North Carolina,5,2019-01-13 5:00:00 | North Carolina
1101,January,2019-01-13,05:30:00,01/15/2019,17:00:00,North Carolina: South Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,133200,Unknown,South Carolina,5,2019-01-13 5:00:00 | South Carolina
1102,January,2019-01-14,11:10:00,Unknown,Unknown,Michigan:,RF,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Actual Physical Attack,Unknown,Unknown,Michigan,11,2019-01-14 11:00:00 | Michigan
1103,January,2019-01-15,08:00:00,01/15/2019,08:02:00,Pennsylvania:,RF,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Vandalism,0,0,Pennsylvania,8,2019-01-15 8:00:00 | Pennsylvania
1104,January,2019-01-16,17:26:00,01/17/2019,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700,California,17,2019-01-16 17:00:00 | California
1105,January,2019-01-16,05:19:00,01/16/2019,07:14:00,Texas: Nueces County;,TRE,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,Texas,5,2019-01-16 5:00:00 | Texas
1106,January,2019-01-18,21:54:00,01/19/2019,00:19:00,Nebraska:,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,8,Unknown,Nebraska,21,2019-01-18 21:00:00 | Nebraska
1107,January,2019-01-23,07:26:00,01/23/2019,17:05:00,Colorado: Larimer County;,WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,0,0,Colorado,7,2019-01-23 7:00:00 | Colorado
1108,January,2019-01-24,04:39:00,01/24/2019,05:16:00,Ohio:,RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,Ohio,4,2019-01-24 4:00:00 | Ohio
1109,January,2019-01-28,13:35:00,01/28/2019,13:40:00,Utah: Iron County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Actual Physical Attack,0,0,Utah,13,2019-01-28 13:00:00 | Utah
1110,January,2019-01-29,18:34:00,01/29/2019,18:36:00,Louisiana: Washington Parish;,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,Unknown,Unknown,Louisiana,18,2019-01-29 18:00:00 | Louisiana
