,Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected,state,Hour Event Began,time_location
0,January,2014-01-06,19:50:00,01/06/2014,20:44:00,District of Columbia,RFC,Missing,Voltage Reduction due to Severe Weather - Cold,Unknown,Unknown,District of Columbia,19,2014-01-06 19:00:00 | District of Columbia
1,January,2014-01-06,19:50:00,01/06/2014,20:44:00,Unknown,RFC,Missing,Voltage Reduction due to Severe Weather - Cold,Unknown,Unknown,Unknown,19,2014-01-06 19:00:00 | Unknown
2,January,2014-01-06,19:52:00,01/06/2014,20:45:00,Delaware,RFC,Missing,Voltage Reduction due to Severe Weather - Cold,Unknown,Unknown,Delaware,19,2014-01-06 19:00:00 | Delaware
3,January,2014-01-06,20:45:00,01/07/2014,21:00:00,Unknown,RFC,Missing,Public Appeal due to Severe Weather - Cold,Unknown,Unknown,Unknown,20,2014-01-06 20:00:00 | Unknown
4,January,2014-01-06,19:50:00,01/06/2014,20:49:00,Pennsylvania,RFC,Missing,Voltage Reduction due to Severe Weather - Cold,200,62000,Pennsylvania,19,2014-01-06 19:00:00 | Pennsylvania
5,January,2014-01-06,19:50:00,01/06/2014,20:44:00,Pennsylvania,RFC,Missing,Voltage Reduction due to Severe Weather - Cold,Unknown,Unknown,Pennsylvania,19,2014-01-06 19:00:00 | Pennsylvania
6,January,2014-01-06,14:37:00,01/06/2014,14:38:00,Utah,RFC,Missing,Vandalism,Unknown,Unknown,Utah,14,2014-01-06 14:00:00 | Utah
7,January,2014-01-06,22:00:00,01/06/2014,22:01:00,Kentucky,RFC,Missing,Public Appeal due to Severe Weather - Cold,Unknown,Unknown,Kentucky,22,2014-01-06 22:00:00 | Kentucky
8,January,2014-01-06,7:01:00,01/07/2014,9:00:00,Texas,TRE,Missing,Public Appeal due to Severe Weather - Cold,Unknown,Unknown,Texas,7,2014-01-06 7:00:00 | Texas
9,January,2014-01-07,21:00:00,01/08/2014,9:00:00,Unknown,RFC,Missing,Public Appeal due to Severe Weather - Cold,Unknown,Unknown,Unknown,21,2014-01-07 21:00:00 | Unknown
10,January,2014-01-07,6:18:00,01/07/2014,6:19:00,Pennsylvania,RFC,Missing,Severe Weather - Cold,Unknown,Unknown,Pennsylvania,6,2014-01-07 6:00:00 | Pennsylvania
11,January,2014-01-07,7:58:00,01/07/2014,11:00:00,North Carolina,SERC,Missing,Voltage Reduction; Public Appeal due to Severe Weather - Cold,14435,Unknown,North Carolina,7,2014-01-07 7:00:00 | North Carolina
12,January,2014-01-07,16:15:00,01/08/2014,13:20:00,North Carolina,SERC,Missing,Public Appeal due to Severe Weather - Cold,Unknown,Unknown,North Carolina,16,2014-01-07 16:00:00 | North Carolina
13,January,2014-01-07,6:00:00,01/07/2014,8:30:00,Northeast Tennessee,SERC,Missing,Public Appeal due to Severe Weather - Cold,Unknown,Unknown,Tennessee,6,2014-01-07 6:00:00 | Tennessee
14,January,2014-01-07,6:00:00,01/07/2014,8:30:00,Tennessee,SERC,Missing,Public Appeal due to Severe Weather - Cold,Unknown,Unknown,Tennessee,6,2014-01-07 6:00:00 | Tennessee
15,January,2014-01-07,18:00:00,01/07/2014,23:00:00,South Carolina,SERC,Missing,Voltage Reduction; Public Appeal; Load Shed 100+MW due to Severe Weather - Cold,4853,677858,South Carolina,18,2014-01-07 18:00:00 | South Carolina
16,January,2014-01-07,10:59:00,01/09/2014,9:00:00,Illinois,RFC,Missing,Fuel Supply Emergency - Natural Gas,Unknown,Unknown,Illinois,10,2014-01-07 10:00:00 | Illinois
17,January,2014-01-07,9:30:00,01/08/2014,9:30:00,"Piedmont North Carolina, Piedmont South Carolina",SERC,Missing,Fuel Supply Emergency due to Severe Weather - Cold,Unknown,Unknown,North Carolina,9,2014-01-07 9:00:00 | North Carolina
18,January,2014-01-07,9:30:00,01/08/2014,9:30:00,"Piedmont North Carolina, Piedmont South Carolina",SERC,Missing,Fuel Supply Emergency due to Severe Weather - Cold,Unknown,Unknown,South Carolina,9,2014-01-07 9:00:00 | South Carolina
19,January,2014-01-08,5:00:00,01/08/2014,6:30:00,Unknown,RFC,Missing,Voltage Reduction due to Severe Weather - Cold,576,Unknown,Unknown,5,2014-01-08 5:00:00 | Unknown
20,January,2014-01-08,6:00:00,01/08/2014,9:00:00,South Carolina,SERC,Missing,Voltage Reduction; Public Appeal; Load Shed 100+MW due to Severe Weather - Cold,4545,677858,South Carolina,6,2014-01-08 6:00:00 | South Carolina
21,January,2014-01-13,16:44:00,01/13/2014,16:45:00,Arizona,WECC,Missing,Physical Attack - Vandalism,Unknown,Unknown,Arizona,16,2014-01-13 16:00:00 | Arizona
22,January,2014-01-15,14:32:00,01/15/2014,14:45:00,Utah,WECC,Missing,Physical Attack - Vandalism,Unknown,Unknown,Utah,14,2014-01-15 14:00:00 | Utah
23,January,2014-01-16,12:30:00,01/16/2014,13:57:00,Arizona,WECC,Missing,Physical Attack - Vandalism,Unknown,Unknown,Arizona,12,2014-01-16 12:00:00 | Arizona
24,January,2014-01-17,12:20:00,01/17/2014,12:20:00,Ohio,RFC,Missing,Suspected Physical Attack,Unknown,Unknown,Ohio,12,2014-01-17 12:00:00 | Ohio
25,January,2014-01-17,10:30:00,01/28/2014,9:00:00,Illinois,RFC,Missing,Fuel Supply Emergency - Natural Gas,Unknown,Unknown,Illinois,10,2014-01-17 10:00:00 | Illinois
26,January,2014-01-18,17:39:00,Unknown,Unknown,Unknown,RFC,Missing,Electrical System Islanding,Unknown,Unknown,Unknown,17,2014-01-18 17:00:00 | Unknown
27,January,2014-01-18,9:00:00,01/18/2014,9:45:00,Texas,TRE,Missing,Public Appeal to Reduce Electricity Usage,Unknown,Unknown,Texas,9,2014-01-18 9:00:00 | Texas
28,January,2014-01-21,17:00:00,Unknown,Unknown,New Jersey,RFC,Missing,Physical Attack - Vandalism,Unknown,Unknown,New Jersey,17,2014-01-21 17:00:00 | New Jersey
29,January,2014-01-21,12:14:00,01/21/2014,12:39:00,Missouri,SERC,Missing,Physical Attack - Vandalism,10,Unknown,Missouri,12,2014-01-21 12:00:00 | Missouri
30,January,2014-01-22,13:55:00,01/22/2014,14:55:00,Wisconsin,MRO,Missing,Physical Attack - Vandalism,Unknown,Unknown,Wisconsin,13,2014-01-22 13:00:00 | Wisconsin
31,January,2014-01-22,9:45:00,01/22/2014,20:19:00,Ohio,RFC,Missing,Physical Attack - Vandalism,Unknown,Unknown,Ohio,9,2014-01-22 9:00:00 | Ohio
32,January,2014-01-22,21:15:00,01/23/2014,3:08:00,"Burlington County, New Jersey",RFC,Missing,Suspected Physical Attack,Unknown,Unknown,New Jersey,21,2014-01-22 21:00:00 | New Jersey
33,January,2014-01-22,0:30:00,01/22/2014,2:45:00,Wisconsin,MRO,Missing,Physical Attack - Vandalism,Unknown,Unknown,Wisconsin,0,2014-01-22 0:00:00 | Wisconsin
34,January,2014-01-23,4:00:00,01/24/2014,12:00:00,Tennessee,SERC,Missing,Public Appeal due to Severe Weather - Cold,Unknown,Unknown,Tennessee,4,2014-01-23 4:00:00 | Tennessee
35,January,2014-01-23,21:17:00,01/24/2014,17:00:00,"Wynoochee, Washington",WECC,Missing,Physical Attack - Vandalism,Unknown,Unknown,Washington,21,2014-01-23 21:00:00 | Washington
36,January,2014-01-23,13:04:00,01/24/2014,9:00:00,Maryland,RFC,Missing,Public Appeal due to Severe Weather - Cold,Unknown,Unknown,Maryland,13,2014-01-23 13:00:00 | Maryland
37,January,2014-01-23,16:00:00,01/24/2014,12:00:00,Tennessee,SERC,Missing,Public Appeal due to Severe Weather - Cold,Unknown,Unknown,Tennessee,16,2014-01-23 16:00:00 | Tennessee
38,January,2014-01-24,0:00:00,04/09/2014,11:53:00,Wisconsin,RFC,Missing,Fuel Supply Emergency - Coal,Unknown,Unknown,Wisconsin,0,2014-01-24 0:00:00 | Wisconsin
39,January,2014-01-24,15:30:00,01/24/2014,17:00:00,Wisconsin,MRO,Missing,Physical Attack - Vandalism,Unknown,Unknown,Wisconsin,15,2014-01-24 15:00:00 | Wisconsin
40,January,2014-01-25,10:00:00,01/25/2014,11:00:00,"Madison, Wisconsin",MRO,Missing,Physical Attack - Vandalism,Unknown,Unknown,Wisconsin,10,2014-01-25 10:00:00 | Wisconsin
41,January,2014-01-26,23:00:00,Unknown,Unknown,New Jersey,RFC,Missing,Physical Attack,Unknown,Unknown,New Jersey,23,2014-01-26 23:00:00 | New Jersey
42,January,2014-01-26,21:00:00,01/27/2014,11:00:00,Oregon,WECC,Missing,Physical Attack - Vandalism,Unknown,Unknown,Oregon,21,2014-01-26 21:00:00 | Oregon
43,January,2014-01-27,14:20:00,01/28/2014,21:00:00,Maryland,RFC,Missing,Public Appeal due to Severe Weather - Cold,Unknown,Unknown,Maryland,14,2014-01-27 14:00:00 | Maryland
44,January,2014-01-29,16:00:00,01/29/2014,16:44:00,Unknown,MRO,Missing,Physical Attack - Vandalism,Unknown,Unknown,Unknown,16,2014-01-29 16:00:00 | Unknown
45,January,2014-01-30,15:00:00,Unknown,Unknown,Arizona,WECC,Missing,Physical Attack - Vandalism,Unknown,Unknown,Arizona,15,2014-01-30 15:00:00 | Arizona
46,February,2014-02-05,0:00:00,02/09/2014,18:00:00,"Maryland, West Virginia",RFC,Missing,Severe Weather - Snow/Ice,Unknown,101580,Maryland,0,2014-02-05 0:00:00 | Maryland
47,February,2014-02-05,0:00:00,02/09/2014,18:00:00,"Maryland, West Virginia",RFC,Missing,Severe Weather - Snow/Ice,Unknown,101580,West Virginia,0,2014-02-05 0:00:00 | West Virginia
48,February,2014-02-05,1:00:00,02/09/2014,20:40:00,Pennsylvania,RFC,Missing,Severe Weather - Snow/Ice,Unknown,144000,Pennsylvania,1,2014-02-05 1:00:00 | Pennsylvania
49,February,2014-02-05,5:00:00,02/05/2014,5:01:00,Pennsylvania,RFC,Missing,Severe Weather - Snow/Ice,Unknown,715000,Pennsylvania,5,2014-02-05 5:00:00 | Pennsylvania
50,February,2014-02-05,7:00:00,02/23/2014,7:00:00,New York,NPCC,Missing,Fuel Supply Emergency - Coal,300,Unknown,New York,7,2014-02-05 7:00:00 | New York
51,February,2014-02-05,7:35:00,02/07/2014,4:03:00,"Lancaster Region, Pennsylvania",RFC,Missing,Severe Weather - Snow/Ice,Unknown,62159,Pennsylvania,7,2014-02-05 7:00:00 | Pennsylvania
52,February,2014-02-05,8:05:00,02/05/2014,8:06:00,"Baltimore, Maryland",RFC,Missing,Severe Weather - Ice,800,181000,Maryland,8,2014-02-05 8:00:00 | Maryland
53,February,2014-02-06,13:00:00,02/06/2014,22:00:00,California,WECC,Missing,Fuel Supply Emergency - Natural Gas,4000,Unknown,California,13,2014-02-06 13:00:00 | California
54,February,2014-02-06,13:05:00,02/06/2014,19:15:00,Northern California,WECC,Missing,Fuel Supply Emergency - Natural Gas,160,Unknown,California,13,2014-02-06 13:00:00 | California
55,February,2014-02-06,13:58:00,02/06/2014,20:40:00,Rio Grande Valley Texas,TRE,Missing,Public Appeal to Reduce Electricity Usage,Unknown,Unknown,Texas,13,2014-02-06 13:00:00 | Texas
56,February,2014-02-06,14:15:00,02/06/2014,19:39:00,California,WECC,Missing,Fuel Supply Emergency - Natural Gas,611,Unknown,California,14,2014-02-06 14:00:00 | California
57,February,2014-02-06,15:35:00,02/07/2014,11:30:00,ERCOT Region Texas,TRE,Missing,Public Appeal to Reduce Electricity Usage,Unknown,Unknown,Texas,15,2014-02-06 15:00:00 | Texas
58,February,2014-02-07,7:00:00,03/21/2014,8:00:00,Niagara County New York,NPCC,Missing,Fuel Supply Emergency - Coal,675,Unknown,New York,7,2014-02-07 7:00:00 | New York
59,February,2014-02-07,16:30:00,02/08/2014,9:00:00,ERCOT Region Texas,TRE,Missing,Public Appeal to Reduce Electricity Usage,Unknown,Unknown,Texas,16,2014-02-07 16:00:00 | Texas
60,February,2014-02-07,16:50:00,02/07/2014,20:30:00,Texas,TRE,Missing,Public Appeal to Reduce Electricity Usage,Unknown,Unknown,Texas,16,2014-02-07 16:00:00 | Texas
61,February,2014-02-12,7:48:00,02/15/2014,4:30:00,Northern/Northeastern Georgia,SERC,Missing,Severe Weather - Snow/Ice,1246,373835,Georgia,7,2014-02-12 7:00:00 | Georgia
62,February,2014-02-12,11:03:00,02/15/2014,8:40:00,South Carolina,SERC,Missing,Severe Weather - Snow/Ice,700,120124,South Carolina,11,2014-02-12 11:00:00 | South Carolina
63,February,2014-02-12,12:10:00,02/15/2014,15:20:00,North Carolina,SERC,Missing,Severe Weather - Snow/Ice,Unknown,200000,North Carolina,12,2014-02-12 12:00:00 | North Carolina
64,February,2014-02-12,14:15:00,02/12/2014,14:16:00,Vermont,NPCC,Missing,Physical Attack - Vandalism,Unknown,Unknown,Vermont,14,2014-02-12 14:00:00 | Vermont
65,February,2014-02-14,13:00:00,02/14/2014,15:00:00,"Portland, Oregon",WECC,Missing,Physical Attack - Vandalism,Unknown,Unknown,Oregon,13,2014-02-14 13:00:00 | Oregon
66,February,2014-02-18,18:43:00,02/18/2014,18:44:00,"Bend, Oregon",WECC,Missing,Physical Attack - Vandalism,Unknown,Unknown,Oregon,18,2014-02-18 18:00:00 | Oregon
67,February,2014-02-20,16:40:00,02/21/2014,23:59:00,"Missouri, Illinois",SERC,Missing,Severe Weather - Snow/Ice,Unknown,66000,Illinois,16,2014-02-20 16:00:00 | Illinois
68,February,2014-02-20,16:40:00,02/21/2014,23:59:00,"Missouri, Illinois",SERC,Missing,Severe Weather - Snow/Ice,Unknown,66000,Missouri,16,2014-02-20 16:00:00 | Missouri
69,February,2014-02-21,2:53:00,02/21/2014,21:00:00,Northern/Northeastern Georgia,SERC,Missing,Severe Weather - Thunderstorms/High Winds,221,66445,Georgia,2,2014-02-21 2:00:00 | Georgia
70,March,2014-03-02,19:00:00,03/04/2014,9:00:00,ERCOT Region Texas,TRE,Missing,Public Appeal due to Severe Weather - Cold,Unknown,Unknown,Texas,19,2014-03-02 19:00:00 | Texas
71,March,2014-03-03,17:25:00,03/03/2014,17:25:00,New York,NPCC,Missing,Suspected Physical Attack,Unknown,Unknown,New York,17,2014-03-03 17:00:00 | New York
72,March,2014-03-03,6:40:00,03/03/2014,15:28:00,Tennessee,SERC,Missing,Severe Weather - Winter Storm,Unknown,65904,Tennessee,6,2014-03-03 6:00:00 | Tennessee
73,March,2014-03-03,1:48:00,03/03/2014,1:49:00,"Mid-Columbia River Generation, Washington",WECC,Missing,Fuel Supply Emergency - Hydro,630,Unknown,Washington,1,2014-03-03 1:00:00 | Washington
74,March,2014-03-04,9:06:00,03/17/2014,9:06:00,"Weston, Wisconsin",MRO,Missing,Fuel Supply Emergency - Coal,Unknown,Unknown,Wisconsin,9,2014-03-04 9:00:00 | Wisconsin
75,March,2014-03-05,17:06:00,03/05/2014,17:07:00,"Salt Lake City, Utah",WECC,Missing,Physical Attack,Unknown,Unknown,Utah,17,2014-03-05 17:00:00 | Utah
76,March,2014-03-07,3:30:00,03/07/2014,21:00:00,"Triad, North Carolina",SERC,Missing,Severe Weather - Winter Storm,1500,370900,North Carolina,3,2014-03-07 3:00:00 | North Carolina
77,March,2014-03-11,0:00:00,03/13/2014,0:00:00,"Boone County, Iowa",MRO,Missing,Suspected Physical Attack,Unknown,Unknown,Iowa,0,2014-03-11 0:00:00 | Iowa
78,March,2014-03-12,19:35:00,03/13/2014,12:00:00,North Carolina,SERC,Missing,Severe Weather - High Winds,250,61377,North Carolina,19,2014-03-12 19:00:00 | North Carolina
79,March,2014-03-14,12:34:00,03/14/2014,16:45:00,"Boone County, Iowa",MRO,Missing,Physical Attack - Vandalism,Unknown,Unknown,Iowa,12,2014-03-14 12:00:00 | Iowa
80,March,2014-03-17,17:25:00,03/18/2014,0:56:00,"Glendale, Arizona",WECC,Missing,Physical Attack - Sabatoge,Unknown,Unknown,Arizona,17,2014-03-17 17:00:00 | Arizona
81,March,2014-03-20,0:00:00,03/20/2014,0:01:00,New York,NPCC,Missing,Suspected Cyber Attack,Unknown,Unknown,New York,0,2014-03-20 0:00:00 | New York
82,March,2014-03-24,11:07:00,03/24/2014,11:08:00,"Salt Lake City, Utah",WECC,Missing,Physical Attack - Vandalism,Unknown,Unknown,Utah,11,2014-03-24 11:00:00 | Utah
83,March,2014-03-26,16:00:00,04/10/2014,12:00:00,Iowa,MRO,Missing,Physical Attack,Unknown,Unknown,Iowa,16,2014-03-26 16:00:00 | Iowa
84,March,2014-03-26,13:37:00,03/26/2014,14:33:00,Montana,WECC,Missing,Electrical System Separation (Islanding),Unknown,Unknown,Montana,13,2014-03-26 13:00:00 | Montana
85,April,2014-04-03,0:00:00,Unknown,Unknown,Texas,TRE,Missing,Fuel Supply Emergency - Coal,Unknown,Unknown,Texas,0,2014-04-03 0:00:00 | Texas
86,April,2014-04-03,14:45:00,04/09/2014,11:53:00,Wisconsin,MRO,Missing,Fuel Supply Emergency - Coal,Unknown,Unknown,Wisconsin,14,2014-04-03 14:00:00 | Wisconsin
87,April,2014-04-04,3:30:00,04/04/2014,8:15:00,Central Arkansas,SERC,Missing,Severe Weather - Wind,Unknown,57200,Arkansas,3,2014-04-04 3:00:00 | Arkansas
88,April,2014-04-08,13:00:00,04/08/2014,13:01:00,"Davis, California",WECC,Missing,Physical Attack - Vandalism,Unknown,Unknown,California,13,2014-04-08 13:00:00 | California
89,April,2014-04-12,18:15:00,04/14/2014,9:00:00,Western and Central Michigan,RFC,Missing,Severe Weather - Thunderstorms,Unknown,50000,Michigan,18,2014-04-12 18:00:00 | Michigan
90,April,2014-04-12,20:00:00,04/15/2014,19:30:00,Michigan,RFC,Missing,Severe Weather,Unknown,164000,Michigan,20,2014-04-12 20:00:00 | Michigan
91,April,2014-04-23,19:45:00,04/23/2014,20:37:00,"Baton Rouge, Louisiana",SERC,Missing,Load shedding of 100 Megawatts,163,28000,Louisiana,19,2014-04-23 19:00:00 | Louisiana
92,April,2014-04-25,7:00:00,04/25/2014,7:30:00,Delaware,RFC,Missing,Physical Attack - Vandalism,Unknown,Unknown,Delaware,7,2014-04-25 7:00:00 | Delaware
93,April,2014-04-27,12:07:00,04/27/2014,12:09:00,"Albany, Oregon",WECC,Missing,Physical Attack - Vandalism,Unknown,Unknown,Oregon,12,2014-04-27 12:00:00 | Oregon
94,April,2014-04-29,23:30:00,04/29/2014,12:30:00,"Mississippi, Alabama",SERC,Missing,Severe Weather - Thunderstorms,355,106648,Alabama,23,2014-04-29 23:00:00 | Alabama
95,April,2014-04-29,23:30:00,04/29/2014,12:30:00,"Mississippi, Alabama",SERC,Missing,Severe Weather - Thunderstorms,355,106648,Mississippi,23,2014-04-29 23:00:00 | Mississippi
96,April,2014-04-29,9:37:00,05/01/2014,9:00:00,"Northeastern Mississippi, Northern Alabama",SERC,Missing,Severe Weather - Thunderstorms,Unknown,57000,Alabama,9,2014-04-29 9:00:00 | Alabama
97,April,2014-04-29,9:37:00,05/01/2014,9:00:00,"Northeastern Mississippi, Northern Alabama",SERC,Missing,Severe Weather - Thunderstorms,Unknown,57000,Mississippi,9,2014-04-29 9:00:00 | Mississippi
98,April,2014-04-30,3:50:00,04/30/2014,14:00:00,"Alabama, Florida, Georgia",SERC,Missing,Severe Weather - Thunderstorms,296,89000,Alabama,3,2014-04-30 3:00:00 | Alabama
99,April,2014-04-30,3:50:00,04/30/2014,14:00:00,"Alabama, Florida, Georgia",SERC,Missing,Severe Weather - Thunderstorms,296,89000,Florida,3,2014-04-30 3:00:00 | Florida
100,April,2014-04-30,3:50:00,04/30/2014,14:00:00,"Alabama, Florida, Georgia",SERC,Missing,Severe Weather - Thunderstorms,296,89000,Georgia,3,2014-04-30 3:00:00 | Georgia
101,May,2014-05-08,8:39:00,05/08/2014,8:40:00,"Imperial Valley, California",WECC,Missing,Physical Attack,Unknown,Unknown,California,8,2014-05-08 8:00:00 | California
102,May,2014-05-08,1:00:00,05/08/2014,1:01:00,Mississippi,SERC,Missing,Physical Attack,Unknown,Unknown,Mississippi,1,2014-05-08 1:00:00 | Mississippi
103,May,2014-05-09,18:00:00,05/11/2014,13:00:00,Indiana,RFC,Missing,Severe Weather - Heavy Winds,Unknown,56000,Indiana,18,2014-05-09 18:00:00 | Indiana
104,May,2014-05-11,18:38:00,05/11/2014,18:39:00,"MISO North, Minnesota",MRO,Missing,Physical Attack - Vandalism,Unknown,Unknown,Minnesota,18,2014-05-11 18:00:00 | Minnesota
105,May,2014-05-12,13:14:00,05/12/2014,13:15:00,"Layton, Utah",WECC,Missing,Physical Attack - Vandalism,Unknown,Unknown,Utah,13,2014-05-12 13:00:00 | Utah
106,May,2014-05-14,15:34:00,Unknown,Unknown,"San Diego & Orange Counties, California",WECC,Missing,Public Appeal to Reduce Electricity Usage - Wild Fires,Unknown,426,California,15,2014-05-14 15:00:00 | California
107,May,2014-05-15,10:43:00,Unknown,Unknown,"San Diego & Orange Counties, California",WECC,Missing,Public Appeal to Reduce Electricity Usage - Wild Fires,3300,1400000,California,10,2014-05-15 10:00:00 | California
108,May,2014-05-15,12:10:00,05/15/2014,12:13:00,"Whiting, Indiana",RFC,Missing,Suspected Physical Attack,Unknown,Unknown,Indiana,12,2014-05-15 12:00:00 | Indiana
109,May,2014-05-16,10:43:00,05/16/2014,21:00:00,"San Diego & Orange Counties, California",WECC,Missing,Public Appeal to Reduce Electricity Usage - Wild Fires,3900,1400000,California,10,2014-05-16 10:00:00 | California
110,May,2014-05-20,7:01:00,05/20/2014,7:02:00,"Duchesne County, Utah",WECC,Missing,Physical Attack - Vandalism,Unknown,Unknown,Utah,7,2014-05-20 7:00:00 | Utah
111,May,2014-05-23,15:00:00,05/25/2014,19:00:00,North Carolina,SERC,Missing,Physical Attack - Vandalism,Unknown,Unknown,North Carolina,15,2014-05-23 15:00:00 | North Carolina
112,May,2014-05-27,11:00:00,05/27/2014,16:53:00,"Phoenix, Arizona",WECC,Missing,Physical Attack - Vandalism,Unknown,Unknown,Arizona,11,2014-05-27 11:00:00 | Arizona
113,June,2014-06-03,1:38:00,06/03/2014,1:43:00,Texas,ERCOT,Missing,Physical Attack - Vandalism,Unknown,Unknown,Texas,1,2014-06-03 1:00:00 | Texas
114,June,2014-06-05,3:00:00,06/07/2014,23:45:00,"Shelby County, Tennessee",SERC,Missing,Severe Weather - Thunderstorms,494,38500,Tennessee,3,2014-06-05 3:00:00 | Tennessee
115,June,2014-06-06,13:00:00,Unknown,Unknown,Texas,ERCOT,Missing,Fuel Supply Emergency - Coal,Unknown,Unknown,Texas,13,2014-06-06 13:00:00 | Texas
116,June,2014-06-05,13:06:00,06/05/2014,13:07:00,West Tennessee,SERC,Missing,Severe Weather - Thunderstorms,Unknown,56475,Tennessee,13,2014-06-05 13:00:00 | Tennessee
117,June,2014-06-07,23:00:00,06/08/2014,5:30:00,"North and Central , Alabama",SERC,Missing,Severe Weather - Thunderstorms,217,65000,Alabama,23,2014-06-07 23:00:00 | Alabama
118,June,2014-06-11,9:30:00,06/11/2014,9:31:00,"Nogales, Arizona",WECC,Missing,Suspected Physical Attack,Unknown,Unknown,Arizona,9,2014-06-11 9:00:00 | Arizona
119,June,2014-06-10,21:50:00,06/11/2014,14:30:00,West Virginia,RFC,Missing,Severe Weather - Thunderstorms,Unknown,66383,West Virginia,21,2014-06-10 21:00:00 | West Virginia
120,June,2014-06-11,16:00:00,06/11/2014,16:30:00,Southern Mississippi,SERC,Missing,Physical Attack - Vandalism,Unknown,Unknown,Mississippi,16,2014-06-11 16:00:00 | Mississippi
121,June,2014-06-12,9:10:00,06/12/2014,9:11:00,"Somervell County, Texas",ERCOT,Missing,Suspected Physical Attack,Unknown,Unknown,Texas,9,2014-06-12 9:00:00 | Texas
122,June,2014-06-15,0:00:00,06/15/2014,1:00:00,Central Minnesota,MRO,Missing,Severe Weather - Thunderstorms,Unknown,55951,Minnesota,0,2014-06-15 0:00:00 | Minnesota
123,June,2014-06-18,9:52:00,06/18/2014,19:00:00,Washington,WECC,Missing,Physical Attack - Vandalism,Unknown,Unknown,Washington,9,2014-06-18 9:00:00 | Washington
124,June,2014-06-18,17:00:00,06/20/2014,15:00:00,Southeast Michigan,RFC,Missing,Severe Weather - Thunderstorms,Unknown,138802,Michigan,17,2014-06-18 17:00:00 | Michigan
125,June,2014-06-19,8:47:00,06/19/2014,8:48:00,"Nashville, Tennessee",SERC,Missing,Physical Attack - Vandalism,Unknown,Unknown,Tennessee,8,2014-06-19 8:00:00 | Tennessee
126,June,2014-06-24,14:54:00,06/24/2014,14:55:00,"Nashville, Tennessee",SERC,Missing,Physical Attack - Vandalism,Unknown,Unknown,Tennessee,14,2014-06-24 14:00:00 | Tennessee
127,June,2014-06-27,13:21:00,Unknown,Unknown,Wisconsin,MRO,Missing,Fuel Supply Emergency - Coal,Unknown,Unknown,Wisconsin,13,2014-06-27 13:00:00 | Wisconsin
128,June,2014-06-30,17:55:00,07/01/2014,2:53:00,Southeast  Wisconsin,MRO,Missing,Severe Weather - Thunderstorms,424,120000,Wisconsin,17,2014-06-30 17:00:00 | Wisconsin
129,June,2014-06-30,20:00:00,07/02/2014,18:30:00,Illinois,RFC,Missing,Severe Weather - Thunderstorms,Unknown,420000,Illinois,20,2014-06-30 20:00:00 | Illinois
130,June,2014-06-30,23:20:00,07/01/2014,17:00:00,North Central Indiana,RFC,Missing,Severe Weather - Thunderstorms,Unknown,127000,Indiana,23,2014-06-30 23:00:00 | Indiana
131,July,2014-07-01,5:00:00,07/02/2014,2:00:00,"Indiana, Michigan",RFC,Missing,Severe Weather - Thunderstorms,Unknown,57237,Indiana,5,2014-07-01 5:00:00 | Indiana
132,July,2014-07-01,5:00:00,07/02/2014,2:00:00,"Indiana, Michigan",RFC,Missing,Severe Weather - Thunderstorms,Unknown,57237,Michigan,5,2014-07-01 5:00:00 | Michigan
133,July,2014-07-02,8:39:00,07/28/2014,15:13:00,Wisconsin,MRO,Missing,Fuel Supply Emergency - Coal,Unknown,Unknown,Wisconsin,8,2014-07-02 8:00:00 | Wisconsin
134,July,2014-07-01,3:30:00,Unknown,Unknown,Southwest Michigan,RFC,Missing,Severe Weather - Thunderstorms,Unknown,51000,Michigan,3,2014-07-01 3:00:00 | Michigan
135,July,2014-07-01,4:00:00,07/03/2014,23:30:00,Southeast Michigan,RFC,Missing,Severe Weather - Thunderstorms,Unknown,140000,Michigan,4,2014-07-01 4:00:00 | Michigan
136,July,2014-07-03,18:00:00,07/06/2014,12:00:00,Pennsylvania,RFC,Missing,Severe Weather - Thunderstorms,Unknown,298165,Pennsylvania,18,2014-07-03 18:00:00 | Pennsylvania
137,July,2014-07-03,22:55:00,07/04/2014,1:50:00,"Vermont, New Hampshire, Maine, Rhode Island, Massachusetts, Connecticut",NPCC,Missing,Severe Weather - Thunderstorms,Unknown,64000,Connecticut,22,2014-07-03 22:00:00 | Connecticut
138,July,2014-07-03,22:55:00,07/04/2014,1:50:00,"Vermont, New Hampshire, Maine, Rhode Island, Massachusetts, Connecticut",NPCC,Missing,Severe Weather - Thunderstorms,Unknown,64000,Maine,22,2014-07-03 22:00:00 | Maine
139,July,2014-07-03,22:55:00,07/04/2014,1:50:00,"Vermont, New Hampshire, Maine, Rhode Island, Massachusetts, Connecticut",NPCC,Missing,Severe Weather - Thunderstorms,Unknown,64000,Massachusetts,22,2014-07-03 22:00:00 | Massachusetts
140,July,2014-07-03,22:55:00,07/04/2014,1:50:00,"Vermont, New Hampshire, Maine, Rhode Island, Massachusetts, Connecticut",NPCC,Missing,Severe Weather - Thunderstorms,Unknown,64000,New Hampshire,22,2014-07-03 22:00:00 | New Hampshire
