EVENT_ID,BEGIN_DATE,time_location_x,EVENT_TYPE,MAGNITUDE,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE,FLOOD_CAUSE,date_state,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Event Type,Number of Customers Affected,state,time_location_y
522980,5/14/14,2014-05-14  9:00:00 | California,Wildfire, ,22500000,0,California, ,2014-05-14 | California,5/14/14,15:34:00,Unknown,Unknown,Public Appeal to Reduce Electricity Usage - Wild Fires,426,California,2014-05-14 15:00:00 | California
522919,5/14/14,2014-05-14  11:00:00 | California,Wildfire, ,0,0,California, ,2014-05-14 | California,5/14/14,15:34:00,Unknown,Unknown,Public Appeal to Reduce Electricity Usage - Wild Fires,426,California,2014-05-14 15:00:00 | California
522923,5/14/14,2014-05-14  12:00:00 | California,Wildfire, ,1120000,0,California, ,2014-05-14 | California,5/14/14,15:34:00,Unknown,Unknown,Public Appeal to Reduce Electricity Usage - Wild Fires,426,California,2014-05-14 15:00:00 | California
522967,5/14/14,2014-05-14  15:00:00 | California,Wildfire, ,5700000,0,California, ,2014-05-14 | California,5/14/14,15:34:00,Unknown,Unknown,Public Appeal to Reduce Electricity Usage - Wild Fires,426,California,2014-05-14 15:00:00 | California
522942,5/15/14,2014-05-15  13:00:00 | California,Wildfire, ,0,0,California, ,2014-05-15 | California,5/15/14,10:43:00,Unknown,Unknown,Public Appeal to Reduce Electricity Usage - Wild Fires,1400000,California,2014-05-15 10:00:00 | California
522947,5/16/14,2014-05-16  10:00:00 | California,Wildfire, ,0,0,California, ,2014-05-16 | California,5/16/14,10:43:00,5/16/14,21:00:00,Public Appeal to Reduce Electricity Usage - Wild Fires,1400000,California,2014-05-16 10:00:00 | California
535041,7/27/14,2014-07-27  9:00:00 | California,Lightning, ,5000,0,California, ,2014-07-27 | California,7/27/14,23:00:00,7/28/14,4:00:00,Uncontrolled Loss of 300 Megawatts,1,California,2014-07-27 23:00:00 | California
536424,7/27/14,2014-07-27  11:00:00 | California,Lightning, ,0,0,California, ,2014-07-27 | California,7/27/14,23:00:00,7/28/14,4:00:00,Uncontrolled Loss of 300 Megawatts,1,California,2014-07-27 23:00:00 | California
535050,7/27/14,2014-07-27  13:00:00 | California,Flash Flood, ,300,0,California,Heavy Rain,2014-07-27 | California,7/27/14,23:00:00,7/28/14,4:00:00,Uncontrolled Loss of 300 Megawatts,1,California,2014-07-27 23:00:00 | California
536423,7/27/14,2014-07-27  13:00:00 | California,Lightning, ,0,0,California, ,2014-07-27 | California,7/27/14,23:00:00,7/28/14,4:00:00,Uncontrolled Loss of 300 Megawatts,1,California,2014-07-27 23:00:00 | California
535042,7/27/14,2014-07-27  13:00:00 | California,Flash Flood, ,0,0,California,Heavy Rain,2014-07-27 | California,7/27/14,23:00:00,7/28/14,4:00:00,Uncontrolled Loss of 300 Megawatts,1,California,2014-07-27 23:00:00 | California
544090,9/16/14,2014-09-16  12:00:00 | California,Thunderstorm Wind,48,15000,0,California, ,2014-09-16 | California,9/16/14,11:56:00,9/16/14,11:57:00,Physical Attack - Vandalism,Unknown,California,2014-09-16 11:00:00 | California
544092,9/16/14,2014-09-16  12:00:00 | California,Thunderstorm Wind,43,1500,0,California, ,2014-09-16 | California,9/16/14,11:56:00,9/16/14,11:57:00,Physical Attack - Vandalism,Unknown,California,2014-09-16 11:00:00 | California
544093,9/16/14,2014-09-16  13:00:00 | California,Thunderstorm Wind,43,2000,0,California, ,2014-09-16 | California,9/16/14,11:56:00,9/16/14,11:57:00,Physical Attack - Vandalism,Unknown,California,2014-09-16 11:00:00 | California
544094,9/16/14,2014-09-16  13:00:00 | California,Lightning, ,10000,0,California, ,2014-09-16 | California,9/16/14,11:56:00,9/16/14,11:57:00,Physical Attack - Vandalism,Unknown,California,2014-09-16 11:00:00 | California
544096,9/16/14,2014-09-16  13:00:00 | California,Flood, ,0,0,California,Heavy Rain,2014-09-16 | California,9/16/14,11:56:00,9/16/14,11:57:00,Physical Attack - Vandalism,Unknown,California,2014-09-16 11:00:00 | California
544097,9/16/14,2014-09-16  14:00:00 | California,Thunderstorm Wind,42,7000,0,California, ,2014-09-16 | California,9/16/14,11:56:00,9/16/14,11:57:00,Physical Attack - Vandalism,Unknown,California,2014-09-16 11:00:00 | California
544099,9/16/14,2014-09-16  14:00:00 | California,Thunderstorm Wind,43,500,0,California, ,2014-09-16 | California,9/16/14,11:56:00,9/16/14,11:57:00,Physical Attack - Vandalism,Unknown,California,2014-09-16 11:00:00 | California
